fantasy_name,team,category,price,pcs_match_found,match_similarity,pcs_name,pcs_rank,pcs_points_2025,pcs_points_12m,pcs_nationality,pcs_team,pcs_url,wins_2026,value_points,points_per_credit,value_category
T. POGACAR,UAE Team Emirates XRG,Leaders,27,True,1.0,POGAČAR Tadej,1.0,2123.0,4744.0,SI,UAE Team Emirates - XRG,https://www.procyclingstats.com/rider/tadej-pogacar,15,2647.2,127.45777777777778,Excellent
J. VINGEGAARD HANSEN,Team Visma | Lease a Bike,Leaders,24,True,1.0,VINGEGAARD Jonas,2.0,1579.0,3405.0,DK,Team Visma | Lease a Bike,https://www.procyclingstats.com/rider/jonas-vingegaard,14,1944.2,105.31083333333335,Excellent
T. MERLIER,Soudal Quick-Step,Sprinters,23,True,1.0,MERLIER Tim,62.0,413.0,889.0,BE,Soudal Quick-Step,https://www.procyclingstats.com/rider/tim-merlier,7,508.2,28.724347826086955,Good
I. DEL TORO ROMERO,UAE Team Emirates XRG,Climbers,22,True,1.0,DEL TORO Isaac,5.0,1207.0,2901.0,MX,UAE Team Emirates - XRG,https://www.procyclingstats.com/rider/isaac-del-toro,12,1545.8,91.34272727272727,Excellent
J. PHILIPSEN,Alpecin-Premier Tech,Sprinters,22,True,1.0,PHILIPSEN Jasper,8.0,1055.0,1752.0,BE,Alpecin - Premier Tech,https://www.procyclingstats.com/rider/jasper-philipsen,6,1194.4,70.57818181818183,Excellent
M. VAN DER POEL,Alpecin-Premier Tech,All-rounders,22,True,1.0,VAN DER POEL Mathieu,10.0,995.0,1503.0,NL,Alpecin - Premier Tech,https://www.procyclingstats.com/rider/mathieu-van-der-poel,4,1096.6,59.81454545454545,Excellent
F. LIPOWITZ,Red Bull - BORA - hansgrohe,Leaders,20,True,1.0,LIPOWITZ Florian,9.0,1002.0,1559.0,DE,Red Bull - BORA - hansgrohe,https://www.procyclingstats.com/rider/florian-lipowitz,5,1113.4,69.5875,Excellent
R. EVENEPOEL,Red Bull - BORA - hansgrohe,Leaders,20,True,1.0,EVENEPOEL Remco,4.0,1230.0,2426.0,BE,Red Bull - BORA - hansgrohe,https://www.procyclingstats.com/rider/remco-evenepoel,8,1469.2,95.49800000000002,Excellent
J. AYUSO PESQUERA,Lidl-Trek,Leaders,20,True,1.0,AYUSO Juan,47.0,460.0,885.0,ES,Lidl - Trek,https://www.procyclingstats.com/rider/juan-ayuso-pesquera,2,545.0,29.975,Good
P. SEIXAS,Decathlon CMA CGM Team,Leaders,19,True,1.1,SEIXAS Paul,3.0,1266.0,1545.0,FR,Decathlon CMA CGM Team,https://www.procyclingstats.com/rider/paul-seixas,11,1321.8,90.43894736842105,Excellent
